感覺明天會跌停,0
空一下,0
資金流向電子股了,0
利多不漲還不跑,0
航運拜,0
要連6根跌停了,0
在跌一根,0
目標價跌到50,0
航運真的不行了呀外資都轉買電子了,0
進00分就是跌停好幾根,0
航運差不多了營收在高也沒用美國總統一句話讓你跌回0位數,0
看來營收好的股票都不被愛,0
長榮好慘又要在跌一根,0
試搓跌停呦,0
沒意外跌停進00分盤的下場,0
看來跌停收盤了,0
還有5天法人真的要殺破100ㄟ,0
說句老實話最近可以先不用進場長榮進00分盤易跌難漲,0
持續看好,1
到底是有什麼利空消息嗎能讓股價跌成這樣,0
外資有買耶,1
感覺空軍今天會死命的空讓長榮延常處置,0
空軍又要瘋狂空了,0
我們一起漲一起讓台股衝高到19000點,1
投信真的要殺死長榮ㄟ,0
外資買好少,0
真可怕空軍,0
空軍好有活力喔,0
扯怎麼會是跌航運,0
台股早晚會大崩盤資金都被那些分析師帶去超那沒賺錢的電子股,0
航運最近一直被媒體打壓很難做多,0
空軍見紅就殺了,0
空空空,0
運價指數一直破高也是沒用的內外資要你死你就死,0
跌停了,0
應該是漲多回跌吧,0
現外資賣航運拉電子等散戶稱不下去賣航轉電外資就會買回來了,1
目前只有台灣海運下跌,0
上班族午休時間賣股了,0
空軍勝,0
連拉5根漲停,1
利多好像都跌停ㄟ,0
幹真的利多不漲,0
這種跌法就是要讓散戶稱不下去跳船,0
航運被新聞媒體老師玩臭了,0
要讓融資斷頭才行,0
跌成這樣還不賣,0
不能等的就賣吧這一個月外資不會拉航運了,0
空軍要開心了，外資挺空軍降評長榮,0
匯豐降評長榮,0
空軍今天很高興吧看到外資開槍,0
空軍開心了吧,0
拉不起來,0
敵不過空軍,0
中午來了跌停,0
台股漲太多被提款,0
投信帥喔一直賣呦,0
空軍又贏了台股是不是正式轉空了,0
空軍不用開心了航運電子都跌台股正式崩盤了,0
又快到中午散戶又要賣股了,0
可怕的空軍,0
殺航運就電子,0
不是說空就有錢拿,0
空軍開心了吧,0
花半小就跌停了,0
今天如果運費跌，空軍應該會空爆三雄,0
等航運崩盤資金流入電子,0
下周無量跌停,0
主力外資賣超幾萬張出貨,0
坐等下週崩盤 無量跌停,0
主力外資出貨,0
下禮拜無量跌停,0
下禮拜還不是跌停的命運,0
難道下禮拜要直上300,1
航運下去囉,0
被套就要套十年,0
今天一定要跌停,0
大戶倒貨倒爽爽 嘲笑散戶用力接,0
繼續加碼空,0
航運資金流到電子,0
明天漲停怎麼辦,1
趕快跌停補回來,0
趕快出清船票追電子,0
大戶邊拉邊出,0
等漲停再加碼空,0
